|time | inM  |  instruction   |reset| outM  |writeM|address| pc  |WPC|DRegister|
| 0+  |     0|0011000000111001|  0  |      0|   0  |     0 |    0| 0 |       0 |
| 1   |     0|0011000000111001|  0  |      0|   0  | 12345 |    1| 0 |       0 |
| 1+  |     0|1110110000010000|  0  |  12345|   0  | 12345 |    1| 0 |   12345 |
| 2   |     0|1110110000010000|  0  |  12345|   0  | 12345 |    2| 0 |   12345 |
| 2+  |     0|0101101110100000|  0  |     -1|   0  | 12345 |    2| 0 |   12345 |
| 3   |     0|0101101110100000|  0  |     -1|   0  | 23456 |    3| 0 |   12345 |
| 3+  |     0|1110000111110000|  0  |  11111|   0  | 23456 |    3| 0 |   11111 |
| 4   |     0|1110000111110000|  0  |      0|   0  | 11111 |    4| 0 |   11111 |
| 4+  |     0|0000001111101011|  0  | -11111|   0  | 11111 |    4| 0 |   11111 |
| 5   |     0|0000001111101011|  0  | -11111|   0  |  1003 |    5| 0 |   11111 |
| 5+  |     0|1110001100001000|  0  |  11111|   1  |  1003 |    5| 0 |   11111 |
| 6   |     0|1110001100001000|  0  |  11111|   1  |  1003 |    6| 0 |   11111 |
| 6+  |     0|0000001111101100|  0  | -11111|   0  |  1003 |    6| 0 |   11111 |
| 7   |     0|0000001111101100|  0  | -11111|   0  |  1004 |    7| 0 |   11111 |
| 7+  |     0|1110001110011000|  0  |  11110|   1  |  1004 |    7| 0 |   11110 |
| 8   |     0|1110001110011000|  0  |  11109|   1  |  1004 |    8| 0 |   11110 |
| 8+  |     0|0000001111101000|  0  | -11110|   0  |  1004 |    8| 0 |   11110 |
| 9   |     0|0000001111101000|  0  | -11110|   0  |  1000 |    9| 0 |   11110 |
| 9+  | 11111|1111010011110000|  0  |     -1|   0  |  1000 |    9| 1 |      -1 |
| 10  | 11111|1111010011110000|  0  | -11112|   0  | 32767 | 1000| 1 |      -1 |
| 10+ | 11111|0000000000001110|  0  |     -1|   0  | 32767 | 1000| 0 |      -1 |
| 11  | 11111|0000000000001110|  0  |     14|   0  |    14 | 1001| 0 |      -1 |
| 11+ | 11111|1110001100000100|  0  |     -1|   0  |    14 | 1001| 1 |      -1 |
| 12  | 11111|1110001100000100|  0  |     -1|   0  |    14 |   14| 1 |      -1 |
| 12+ | 11111|0000001111100111|  0  |      1|   0  |    14 |   14| 0 |      -1 |
| 13  | 11111|0000001111100111|  0  |      1|   0  |   999 |   15| 0 |      -1 |
| 13+ | 11111|1111110111100000|  0  |  11112|   0  |   999 |   15| 0 |      -1 |
| 14  | 11111|1111110111100000|  0  |  11112|   0  | 11112 |   16| 0 |      -1 |
| 14+ | 11111|1110001100101000|  0  |     -1|   1  | 11112 |   16| 1 |      -1 |
| 15  | 11111|1110001100101000|  0  |     -1|   1  | 32767 |11112| 1 |      -1 |
| 15+ | 11111|0000000000010101|  0  |     -1|   0  | 32767 |11112| 0 |      -1 |
| 16  | 11111|0000000000010101|  0  |     21|   0  |    21 |11113| 0 |      -1 |
| 16+ | 11111|1110011111000010|  0  |      0|   0  |    21 |11113| 1 |      -1 |
| 17  | 11111|1110011111000010|  0  |      0|   0  |    21 |   21| 1 |      -1 |
| 17+ | 11111|0000000000000010|  0  |     21|   0  |    21 |   21| 0 |      -1 |
| 18  | 11111|0000000000000010|  0  |      2|   0  |     2 |   22| 0 |      -1 |
| 18+ | 11111|1110000010111000|  0  |      1|   1  |     2 |   22| 0 |       1 |
| 19  | 11111|1110000010111000|  0  |      2|   1  |     1 |   23| 0 |       1 |
| 19+ | 11111|1111110111001000|  0  |  11112|   1  |     1 |   23| 0 |       1 |
| 20  | 11111|1111110111001000|  0  |  11112|   1  |     1 |   24| 0 |       1 |
| 20+ | 11111|1111110010101000|  0  |  11110|   1  |     1 |   24| 0 |       1 |
| 21  | 11111|1111110010101000|  0  |  11110|   1  | 11110 |   25| 0 |       1 |
| 21+ | 11111|0000001111101000|  0  |     -1|   0  | 11110 |   25| 0 |       1 |
| 22  | 11111|0000001111101000|  0  |     -1|   0  |  1000 |   26| 0 |       1 |
| 22+ | 11111|1110111010010000|  0  |     -1|   0  |  1000 |   26| 1 |      -1 |
| 23  | 11111|1110111010010000|  0  |     -1|   0  |  1000 | 1000| 1 |      -1 |
| 23+ | 11111|1110001100000001|  0  |     -1|   0  |  1000 | 1000| 0 |      -1 |
| 24  | 11111|1110001100000001|  0  |     -1|   0  |  1000 | 1001| 0 |      -1 |
| 24+ | 11111|1110001100000010|  0  |     -1|   0  |  1000 | 1001| 0 |      -1 |
| 25  | 11111|1110001100000010|  0  |     -1|   0  |  1000 | 1002| 0 |      -1 |
| 25+ | 11111|1110001100000011|  0  |     -1|   0  |  1000 | 1002| 0 |      -1 |
| 26  | 11111|1110001100000011|  0  |     -1|   0  |  1000 | 1003| 0 |      -1 |
| 26+ | 11111|1110001100000100|  0  |     -1|   0  |  1000 | 1003| 1 |      -1 |
| 27  | 11111|1110001100000100|  0  |     -1|   0  |  1000 | 1000| 1 |      -1 |
| 27+ | 11111|1110001100000101|  0  |     -1|   0  |  1000 | 1000| 1 |      -1 |
| 28  | 11111|1110001100000101|  0  |     -1|   0  |  1000 | 1000| 1 |      -1 |
| 28+ | 11111|1110001100000110|  0  |     -1|   0  |  1000 | 1000| 1 |      -1 |
| 29  | 11111|1110001100000110|  0  |     -1|   0  |  1000 | 1000| 1 |      -1 |
| 29+ | 11111|1110001100000111|  0  |     -1|   0  |  1000 | 1000| 1 |      -1 |
| 30  | 11111|1110001100000111|  0  |     -1|   0  |  1000 | 1000| 1 |      -1 |
| 30+ | 11111|1110101010010000|  0  |      0|   0  |  1000 | 1000| 0 |       0 |
| 31  | 11111|1110101010010000|  0  |      0|   0  |  1000 | 1001| 0 |       0 |
| 31+ | 11111|1110001100000001|  0  |      0|   0  |  1000 | 1001| 0 |       0 |
| 32  | 11111|1110001100000001|  0  |      0|   0  |  1000 | 1002| 0 |       0 |
| 32+ | 11111|1110001100000010|  0  |      0|   0  |  1000 | 1002| 1 |       0 |
| 33  | 11111|1110001100000010|  0  |      0|   0  |  1000 | 1000| 1 |       0 |
| 33+ | 11111|1110001100000011|  0  |      0|   0  |  1000 | 1000| 1 |       0 |
| 34  | 11111|1110001100000011|  0  |      0|   0  |  1000 | 1000| 1 |       0 |
| 34+ | 11111|1110001100000100|  0  |      0|   0  |  1000 | 1000| 0 |       0 |
| 35  | 11111|1110001100000100|  0  |      0|   0  |  1000 | 1001| 0 |       0 |
| 35+ | 11111|1110001100000101|  0  |      0|   0  |  1000 | 1001| 0 |       0 |
| 36  | 11111|1110001100000101|  0  |      0|   0  |  1000 | 1002| 0 |       0 |
| 36+ | 11111|1110001100000110|  0  |      0|   0  |  1000 | 1002| 1 |       0 |
| 37  | 11111|1110001100000110|  0  |      0|   0  |  1000 | 1000| 1 |       0 |
| 37+ | 11111|1110001100000111|  0  |      0|   0  |  1000 | 1000| 1 |       0 |
| 38  | 11111|1110001100000111|  0  |      0|   0  |  1000 | 1000| 1 |       0 |
| 38+ | 11111|1110111111010000|  0  |      1|   0  |  1000 | 1000| 0 |       1 |
| 39  | 11111|1110111111010000|  0  |      1|   0  |  1000 | 1001| 0 |       1 |
| 39+ | 11111|1110001100000001|  0  |      1|   0  |  1000 | 1001| 1 |       1 |
| 40  | 11111|1110001100000001|  0  |      1|   0  |  1000 | 1000| 1 |       1 |
| 40+ | 11111|1110001100000010|  0  |      1|   0  |  1000 | 1000| 0 |       1 |
| 41  | 11111|1110001100000010|  0  |      1|   0  |  1000 | 1001| 0 |       1 |
| 41+ | 11111|1110001100000011|  0  |      1|   0  |  1000 | 1001| 1 |       1 |
| 42  | 11111|1110001100000011|  0  |      1|   0  |  1000 | 1000| 1 |       1 |
| 42+ | 11111|1110001100000100|  0  |      1|   0  |  1000 | 1000| 0 |       1 |
| 43  | 11111|1110001100000100|  0  |      1|   0  |  1000 | 1001| 0 |       1 |
